particle,shms pos,tmin,tmax
kaonL,left,0.06225,0.09975
kaonL,left,0.09975,0.12375
kaonL,left,0.12375,0.19125
kaonL,right,0.06225,0.09975
kaonL,right,0.09975,0.12375
kaonL,right,0.12375,0.19125
kaonL,center,0.06225,0.09975
kaonL,center,0.09975,0.12375
kaonL,center,0.12375,0.19125
