particle,shms pos,tmin,tmax
pion,left,0.00675,0.02025
pion,left,0.02025,0.03075
pion,left,0.03075,0.04275
pion,left,0.04275,0.06075
pion,left,0.06075,0.11025
pion,right,0.00675,0.02025
pion,right,0.02025,0.03075
pion,right,0.03075,0.04275
pion,right,0.04275,0.06075
pion,right,0.06075,0.11025
pion,center,0.00675,0.02025
pion,center,0.02025,0.03075
pion,center,0.03075,0.04275
pion,center,0.04275,0.06075
pion,center,0.06075,0.11025
